	jitter
1	0
3	0
5	0
7	0
9	0
11	0
13	0
15	0
17	0
19	0
21	0
23	0
25	0
27	0
29	0
31	0
33	0
35	0
37	0
39	0
41	0
43	0
45	0
47	0
49	0
51	0
53	0
55	0
57	0
59	0
61	0
63	0
65	0
67	0
69	0
71	0
73	0
75	0
77	0
79	0
81	0
83	0
85	0
87	0
89	0
91	0
93	0
95	0
97	0
99	0
101	0
103	0
105	0
107	0
109	0
111	0
113	0
115	0
117	0
119	0
121	0
123	0
125	0
127	0
129	0
131	0
133	0
135	0
137	0
139	0
141	0
143	0
145	0
147	0
149	0
151	0
153	0
155	0
157	0
159	0
161	0
163	0
165	0
167	0
169	0
171	0
173	0
175	0
177	0
179	0
181	0
183	0
185	0
187	0
189	0
191	0
193	0
195	0
197	0
0	0.025
2	0.025
4	0.025
6	0.025
8	0.025
10	0.025
12	0.025
14	0.025
16	0.025
18	0.025
20	0.025
22	0.025
24	0.025
26	0.025
28	0.025
30	0.025
32	0.025
34	0.025
36	0.025
38	0.025
40	0.025
42	0.025
44	0.025
46	0.025
48	0.025
50	0.025
52	0.025
54	0.025
56	0.025
58	0.025
60	0.025
62	0.025
64	0.025
66	0.025
68	0.025
70	0.025
72	0.025
74	0.025
76	0.025
78	0.025
80	0.025
82	0.025
84	0.025
86	0.025
88	0.025
90	0.025
92	0.025
94	0.025
96	0.025
98	0.025
100	0.025
102	0.025
104	0.025
106	0.025
108	0.025
110	0.025
112	0.025
114	0.025
116	0.025
118	0.025
120	0.025
122	0.025
124	0.025
126	0.025
128	0.025
130	0.025
132	0.025
134	0.025
136	0.025
138	0.025
140	0.025
142	0.025
144	0.025
146	0.025
148	0.025
150	0.025
152	0.025
154	0.025
156	0.025
158	0.025
160	0.025
162	0.025
164	0.025
166	0.025
168	0.025
170	0.025
172	0.025
174	0.025
176	0.025
178	0.025
180	0.025
182	0.025
184	0.025
186	0.025
188	0.025
190	0.025
192	0.025
194	0.025
196	0.025
198	0.025
